Тип;Время_мс;Операции
Insert;0,001400;45
Insert;0,001400;41
Insert;0,002300;81
Insert;0,003700;117
Insert;0,001700;81
Insert;0,002600;90
Insert;0,001300;41
Insert;0,002000;68
Insert;0,001200;45
Insert;0,001600;50
Insert;0,001200;41
Insert;0,000900;27
Insert;0,001000;32
Insert;0,001900;63
Insert;0,001800;59
Insert;0,002500;95
Insert;0,001100;68
Insert;0,000900;41
Insert;0,001000;63
Insert;0,001200;63
Insert;0,001400;63
Insert;0,001100;45
Insert;0,001600;113
Insert;0,001000;59
Insert;0,000900;54
Insert;0,001100;68
Insert;0,000800;63
Insert;0,000700;36
Insert;0,000700;50
Insert;0,001100;68
Insert;0,000800;45
Insert;0,000800;54
Insert;0,000700;41
Insert;0,000700;50
Insert;0,001000;72
Insert;0,000900;63
Insert;0,000800;59
Insert;0,001200;81
Insert;0,000500;36
Insert;0,000900;54
Insert;0,001200;77
Insert;0,001300;86
Insert;0,000900;54
Insert;0,001100;68
Insert;0,000700;50
Insert;0,000700;45
Insert;0,001500;104
Insert;0,001000;59
Insert;0,001100;77
Insert;0,000900;54
Insert;0,001200;81
Insert;0,000900;59
Insert;0,001100;77
Insert;0,000600;41
Insert;0,001500;95
Insert;0,001000;72
Insert;0,000900;59
Insert;0,000800;59
Insert;0,001000;68
Insert;0,000700;50
Insert;0,001100;72
Insert;0,000800;59
Insert;0,000900;59
Insert;0,001100;68
Insert;0,000800;45
Insert;0,001100;77
Insert;0,001100;72
Insert;0,000800;50
Insert;0,001300;86
Insert;0,001000;72
Insert;0,001200;77
Insert;0,001400;90
Insert;0,000800;54
Insert;0,000800;54
Insert;0,001100;77
Insert;0,001000;72
Insert;0,000900;50
Insert;0,000900;63
Insert;0,001000;59
Insert;0,000800;54
Insert;0,001100;77
Insert;0,001100;72
Insert;0,000400;23
Insert;0,000900;59
Insert;0,000900;63
Insert;0,001200;77
Insert;0,001000;72
Insert;0,000600;36
Insert;0,001000;68
Insert;0,000700;41
Insert;0,001200;77
Insert;0,000600;41
Insert;0,001300;95
Insert;0,000700;50
Insert;0,001100;72
Insert;0,001100;81
Insert;0,001100;77
Insert;0,001100;77
Insert;0,000500;36
Insert;0,000600;32
Insert;0,001500;108
Insert;0,001400;99
Insert;0,000900;68
Insert;0,000800;50
Insert;0,000800;54
Insert;0,000500;32
Insert;0,000900;63
Insert;0,001200;77
Insert;0,000900;68
Insert;0,001200;68
Insert;0,000700;50
Insert;0,001000;63
Insert;0,001400;90
Insert;0,001000;68
Insert;0,001100;68
Insert;0,000800;59
Insert;0,001000;68
Insert;0,000500;32
Insert;0,000900;59
Insert;0,001400;72
Insert;0,001800;59
Insert;0,001900;63
Insert;0,002800;90
Insert;0,002100;72
Insert;0,001300;54
Insert;0,001200;45
Insert;0,002000;81
Insert;0,001300;45
Insert;0,001300;50
Insert;0,001600;54
Insert;0,001200;45
Insert;0,001700;68
Insert;0,001500;50
Insert;0,002800;90
Insert;0,001200;41
Insert;0,001800;63
Insert;0,002100;95
Insert;0,001100;72
Insert;0,001200;81
Insert;0,000900;54
Insert;0,001600;99
Insert;0,000600;36
Insert;0,001100;63
Insert;0,001200;63
Insert;0,001100;59
Insert;0,002000;81
Insert;0,000900;54
Insert;0,001500;81
Insert;0,001000;50
Insert;0,000900;54
Insert;0,000800;41
Insert;0,001100;68
Insert;0,001000;54
Insert;0,000900;50
Insert;0,001000;50
Insert;0,001600;95
Insert;0,001000;59
Insert;0,001000;59
Insert;0,001200;63
Insert;0,002200;122
Insert;0,001700;50
Insert;0,000900;50
Insert;0,001800;50
Insert;0,001100;63
Insert;0,001500;81
Insert;0,001300;68
Insert;0,001700;81
Insert;0,001100;59
Insert;0,001000;50
Insert;0,001200;63
Insert;0,000800;41
Insert;0,001000;54
Insert;0,001000;54
Insert;0,001100;63
Insert;0,000900;63
Insert;0,001100;59
Insert;0,001200;41
Insert;0,000700;41
Insert;0,001700;95
Insert;0,001200;68
Insert;0,001200;54
Insert;0,001500;81
Insert;0,001700;72
Insert;0,001600;72
Insert;0,000900;54
Insert;0,001100;54
Insert;0,001200;68
Insert;0,001400;81
Insert;0,001800;99
Insert;0,000900;54
Insert;0,001100;68
Insert;0,001000;54
Insert;0,001100;54
Insert;0,001200;72
Insert;0,001100;63
Insert;0,001000;50
Insert;0,001200;59
Insert;0,001400;81
Insert;0,001200;72
Insert;0,001100;63
Insert;0,001300;59
Insert;0,001600;81
Insert;0,001400;59
Insert;0,000800;50
Insert;0,000800;41
Insert;0,001800;90
Insert;0,001000;59
Insert;0,001400;72
Insert;0,001700;63
Insert;0,001400;63
Insert;0,002300;99
Insert;0,001000;59
Insert;0,001900;77
Insert;0,002100;77
Insert;0,001000;68
Insert;0,001200;72
Insert;0,000900;50
Insert;0,000700;41
Insert;0,000900;68
Insert;0,001300;86
Insert;0,001100;68
Insert;0,000600;45
Insert;0,000900;63
Insert;0,001000;59
Insert;0,000900;68
Insert;0,000800;50
Insert;0,001000;72
Insert;0,001100;68
Insert;0,001500;81
